"","Datum","Ferien"
"397",2017-08-21,"1"
"398",2017-08-22,"1"
"399",2017-08-23,"1"
"400",2017-08-24,"1"
"401",2017-08-25,"1"
"402",2017-08-26,"1"
"403",2017-08-27,"1"
"404",2017-08-28,"1"
"405",2017-08-29,"1"
"406",2017-08-30,"1"
"407",2017-08-31,"1"
"408",2017-09-01,"1"
"409",2017-09-02,"1"
"410",2017-10-16,"1"
"411",2017-10-17,"1"
"412",2017-10-18,"1"
"413",2017-10-19,"1"
"414",2017-10-20,"1"
"415",2017-10-21,"1"
"416",2017-10-22,"1"
"417",2017-10-23,"1"
"418",2017-10-24,"1"
"419",2017-10-25,"1"
"420",2017-10-26,"1"
"421",2017-10-27,"1"
"422",2017-12-21,"1"
"423",2017-12-22,"1"
"424",2017-12-23,"1"
"425",2017-12-24,"1"
"426",2017-12-25,"1"
"427",2017-12-26,"1"
"428",2017-12-27,"1"
"429",2017-12-28,"1"
"430",2017-12-29,"1"
"431",2017-12-30,"1"
"432",2017-12-31,"1"
"433",2018-01-01,"1"
"434",2018-01-02,"1"
"435",2018-01-03,"1"
"436",2018-01-04,"1"
"437",2018-01-05,"1"
"438",2018-01-06,"1"
"439",2018-03-29,"1"
"440",2018-03-30,"1"
"441",2018-03-31,"1"
"442",2018-04-01,"1"
"443",2018-04-02,"1"
"444",2018-04-03,"1"
"445",2018-04-04,"1"
"446",2018-04-05,"1"
"447",2018-04-06,"1"
"448",2018-04-07,"1"
"449",2018-04-08,"1"
"450",2018-04-09,"1"
"451",2018-04-10,"1"
"452",2018-04-11,"1"
"453",2018-04-12,"1"
"454",2018-04-13,"1"
"455",2018-05-11,"1"
"456",2018-07-09,"1"
"457",2018-07-10,"1"
"458",2018-07-11,"1"
"459",2018-07-12,"1"
"460",2018-07-13,"1"
"461",2018-07-14,"1"
"462",2018-07-15,"1"
"463",2018-07-16,"1"
"464",2018-07-17,"1"
"465",2018-07-18,"1"
"466",2018-07-19,"1"
"467",2018-07-20,"1"
"468",2018-07-21,"1"
"469",2018-07-22,"1"
"470",2018-07-23,"1"
"471",2018-07-24,"1"
"472",2018-07-25,"1"
"473",2018-07-26,"1"
"474",2018-07-27,"1"
"475",2018-07-28,"1"
"476",2018-07-29,"1"
"477",2018-07-30,"1"
"478",2018-07-31,"1"
"479",2018-08-01,"1"
"480",2018-08-02,"1"
"481",2018-08-03,"1"
"482",2018-08-04,"1"
"483",2018-08-05,"1"
"484",2018-08-06,"1"
"485",2018-08-07,"1"
"486",2018-08-08,"1"
"487",2018-08-09,"1"
"488",2018-08-10,"1"
"489",2018-08-11,"1"
"490",2018-08-12,"1"
"491",2018-08-13,"1"
"492",2018-08-14,"1"
"493",2018-08-15,"1"
"494",2018-08-16,"1"
"495",2018-08-17,"1"
"496",2018-08-18,"1"
"497",2018-10-01,"1"
"498",2018-10-02,"1"
"499",2018-10-03,"1"
"500",2018-10-04,"1"
"501",2018-10-05,"1"
"502",2018-10-06,"1"
"503",2018-10-07,"1"
"504",2018-10-08,"1"
"505",2018-10-09,"1"
"506",2018-10-10,"1"
"507",2018-10-11,"1"
"508",2018-10-12,"1"
"509",2018-10-13,"1"
"510",2018-10-14,"1"
"511",2018-10-15,"1"
"512",2018-10-16,"1"
"513",2018-10-17,"1"
"514",2018-10-18,"1"
"515",2018-10-19,"1"
"516",2018-12-21,"1"
"517",2018-12-22,"1"
"518",2018-12-23,"1"
"519",2018-12-24,"1"
"520",2018-12-25,"1"
"521",2018-12-26,"1"
"522",2018-12-27,"1"
